商品型號,商品網址,商品照片,商品標題,品牌,分類,男女款,價格,商品介紹
EE6461,https://www.adidas.com/us/ozweego-shoes/EE6461.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/85c5a8551bc64690a5aaaa9300cbe16e_9366/OZWEEGO_Shoes_Green_EE6461_01_standard.jpg",adidas OZWEEGO Shoes - Green | adidas US,adidas,['Lifestyle'],U,110,"Heritage inspiration Adiprene+ forefoot cushioning Adiprene heel cushioning Signature style of the 1998 Ozweego 3 includes the iconic eyestay, distinctive midsole lines and a translucent nylon support tube Adiprene+ in the forefoot supports a smooth stride and offers targeted impact absorption Adiprene under the heel for superior cushioning at impact These shoes take late-'90s and early-'00s style in a new direction, fusing retro elements with futuristic design lines. They come in a mix of mesh, suede and smooth TPU. Targeted support in the forefoot and heel makes for a supremely comfortable ride.it is typically one half size small: Choose half size up from your regular size Lace closure; Eyestay collar tube for even pressure distribution across the foot Mesh upper with suede and TPU overlays Textile lining; Rubber outsole Adiprene+ forefoot cushioning; Lightweight EVA midsole; Adiprene heel cushioning Soft and lightweight Imported"
G54001,https://www.adidas.com/us/ultraboost-shoes/G54001.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/98a870193e9341b0af19aa76011ef0b8_9366/Ultraboost_Shoes_Black_G54001_01_standard.jpg",adidas Ultraboost Shoes - Black | adidas US,adidas,['Running'],M,180,"Built for comfort and performance. These men's running shoes have a breathable knit upper with ventilation in key sweat zones to help keep feet cool and dry. A flexible outsole moves in harmony with responsive cushioning for a smooth, energy-filled ride.egular fit Lace closure adidas Primeknit textile upper Synthetic lining; Stretchweb outsole flexes naturally for an energized ride; Continental™ Rubber gives you superior traction Responsive Boost midsole Weight: 11 ounces (size 9) Midsole drop: 10 mm (heel: 29 mm, forefoot: 19 mm) Arch type: Normal; Fitcounter molded heel counter provides a natural fit that allows optimal movement of the Achilles Imported"
EF2508,https://www.adidas.com/us/americana-low-shoes/EF2508.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/087d3c85ea0b47309305a9f201416485_9366/Americana_Low_Shoes_White_EF2508_01_standard.jpg",adidas Americana Low Shoes - White | adidas US,adidas,['Lifestyle'],U,80,"One of adidas' first basketball shoes, the Americana was a staple for serious players. Today, these sneakers are a favorite for casual wear. A durable textile upper shows off leather and suede overlays, delivering classic hoops style in a comfortable, breathable design.ace closure Textile upper with leather and suede overlays Textile lining; Rubber outsole Imported"
EF1344,https://www.adidas.com/us/ultraboost-19-shoes/EF1344.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/c27898a8cdfe4a19b0c7aaa100dd603a_9366/Ultraboost_19_Shoes_White_EF1344_01_standard.jpg",adidas Ultraboost 19 Shoes - White | adidas US,adidas,['Running'],M,180,"Ultraboost reinvented. These running shoes reboot key performance technologies to give you a confident and energy-filled run. The knit upper has a second-skin fit and is built with motion-weave technology for adaptive stretch and support. Dual-density cushioning delivers medial support and an energized ride.egular fit Lace closure adidas Primeknit 360 upper Synthetic lining; Stretchweb outsole flexes naturally for an energized ride, and Continental™ Rubber gives you superior traction Dual-density Boost cushioning under arch Natural feel like a second skin Weight: 11 ounces (size 9) Midsole drop: 10 mm (heel: 29 mm / forefoot: 19 mm) Arch type: Normal; Lightweight 3D heel frame for personalized fit; Stabilizing Torsion Spring Imported"
EF2378,https://www.adidas.com/us/pharrell-williams-x-adidas-solar-hu-shoes/EF2378.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/5f2e6a6d52544b118388aa4f010ff35a_9366/Pharrell_Williams_x_adidas_Solar_Hu_Shoes_White_EF2378_01_standard.jpg",adidas Pharrell Williams x adidas Solar Hu Shoes - White | adidas US,adidas,['Running'],U,160,adidas teamed up with Pharrell Williams to create these running shoes that celebrate the world's many vibrant hues. They have a breathable textile upper and responsive cushioning for an energized ride. A stability rail helps guide the foot through the gait cycle.egular fit Lace closure Textile upper Rubber outsole; Textile lining Responsive Boost midsole Weight: 9.8 ounces (size US 9) Midsole drop: 10 mm (heel: 32 mm / forefoot: 22 mm) Stabilizing Torsion System; Fitcounter heel for unrestricted fit; Stabilizing Solar Propulsion Rail Imported
EE5704,https://www.adidas.com/us/ozweego-shoes/EE5704.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/041e324d28684339b66eaa8000dad6db_9366/OZWEEGO_Shoes_White_EE5704_01_standard.jpg",adidas OZWEEGO Shoes - White | adidas US,adidas,['Lifestyle'],U,110,"Inspired by vintage sneakers, these shoes put a fresh spin on '90s style. They have an airy mesh and suede upper that hugs your feet and an EVA midsole for maximum shock absorption. The decorative nylon cord at the ankle and laces adds an authentic turn-of-the-millennium touch.egular fit Lace closure Mesh, suede and TPU upper Rubber outsole; Textile lining Adiprene+ forefoot cushioning; Adiprene heel cushioning; Lightweight EVA midsole Hugs the foot; Soft and lightweight Imported"
EE6462,https://www.adidas.com/us/ozweego-shoes/EE6462.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/cbd0113b236543088f2baaa400ee5c1d_9366/OZWEEGO_Shoes_Beige_EE6462_01_standard.jpg",adidas OZWEEGO Shoes - Beige | adidas US,adidas,['Lifestyle'],U,110,"Heritage inspiration Adiprene+ forefoot cushioning Adiprene heel cushioning Signature style of the 1998 Ozweego 3 includes the iconic eyestay, distinctive midsole lines and a translucent nylon support tube Adiprene+ in the forefoot supports a smooth stride and offers targeted impact absorption Adiprene under the heel for superior cushioning at impact These shoes take late-'90s and early-'00s style in a new direction, fusing retro elements with futuristic design lines. They come in a mix of mesh, suede and smooth TPU. Targeted support in the forefoot and heel makes for a supremely comfortable ride.it is typically one half size small: Choose half size up from your regular size Lace closure; Eyestay collar tube for even pressure distribution across the foot Mesh upper with suede and TPU overlays Textile lining; Rubber outsole Adiprene+ forefoot cushioning; Lightweight EVA midsole; Adiprene heel cushioning Soft and lightweight Imported"
EG7788,https://www.adidas.com/us/pharrell-williams-x-adidas-solar-hu-shoes/EG7788.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/0f1da41be3fe43cdb807aa62017c7f19_9366/Pharrell_Williams_x_adidas_Solar_Hu_Shoes_Black_EG7788_01_standard.jpg",adidas Pharrell Williams x adidas Solar Hu Shoes - Black | adidas US,adidas,['Running'],U,160,adidas teamed up with Pharrell Williams to create these running shoes that celebrate the world's many vibrant hues. They have a breathable textile upper and responsive cushioning for an energized ride. A stability rail helps guide the foot through the gait cycle.egular fit Lace closure Textile upper Rubber outsole; Textile lining Responsive Boost midsole Weight: 9.8 ounces (size US 9) Midsole drop: 10 mm (heel: 32 mm / forefoot: 22 mm) Stabilizing Torsion System; Fitcounter heel for unrestricted fit; Stabilizing Solar Propulsion Rail Imported
D96635,https://www.adidas.com/us/nmd_r1-shoes/D96635.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/189b449050ef49b1aa68a8ba010163e6_9366/NMD_R1_Shoes_White_D96635_01_standard.jpg",adidas NMD_R1 Shoes - White | adidas US,adidas,['Lifestyle'],U,130,"Distinctive Boost midsole Signature NMD details Outdoor gear style Boost is our most responsive cushioning ever A signature heel pull plus EVA midsole plugs Technical welded 3-Stripes and a gum-colored outsole add a trail gear vibe Streamlined and modern, these NMD shoes combine '80s racing heritage with style cues taken from outdoor trail gear. The foot-hugging knit upper rides on a responsive cushioned midsole.egular fit Lace closure Knit upper with welded 3-Stripes Gum-colored rubber outsole Molded EVA midsole plugs Sock-like construction hugs the foot Imported"
B42200,https://www.adidas.com/us/nmd_r1-shoes/B42200.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/459ff194c35e45ea91b1a8ba00fc4876_9366/NMD_R1_Shoes_Black_B42200_01_standard.jpg",adidas NMD_R1 Shoes - Black | adidas US,adidas,['Lifestyle'],U,130,"Distinctive Boost midsole Signature NMD details Outdoor gear style Boost is our most responsive cushioning ever A signature heel pull plus EVA midsole plugs Technical welded 3-Stripes and a gum-colored outsole add a trail gear vibe Streamlined and modern, these NMD shoes combine '80s racing heritage with style cues taken from outdoor trail gear. The foot-hugging knit upper rides on a responsive cushioned midsole.egular fit Lace closure Knit upper with welded 3-Stripes Gum-colored rubber outsole Molded EVA midsole plugs Sock-like construction hugs the foot Imported"
