商品型號,商品網址,商品照片,商品標題,品牌,分類,男女款,價格,商品介紹
EE5179,https://www.adidas.com/us/nmd_r1-shoes/EE5179.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/b0513942735848c0af5daa7000f28fe8_9366/NMD_R1_Shoes_Beige_EE5179_01_standard.jpg",adidas NMD_R1 Shoes - Beige | adidas US,adidas,['Lifestyle'],W,130,The NMD_R1 rewrites the rules with a forward-thinking design that's rooted in iconic running style. These shoes have a knit upper to give them a sock-like fit. Molded EVA midsole inserts add cushioning and a distinctive look. The shoes are finished with a seasonal pop of color on the heel.egular fit Lace closure Textured knit upper Textile lining; Rubber outsole Responsive Boost midsole with EVA midsole plugs Sock-like construction hugs the foot Imported
EF1443,https://www.adidas.com/us/solar-ride-shoes/EF1443.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/bc5fbda4f59940249f82aa4801568868_9366/Solar_Ride_Shoes_Black_EF1443_01_standard.jpg",adidas Solar Ride Shoes - Black | adidas US,adidas,"['Running', 'Training']",W,100,These shoes provide flexibility and support for daily distance running. They have a breathable mesh upper and springy cushioning for a comfortable ride.egular fit Lace closure Mesh upper Textile lining; Durable Adiwear outsole; Flexible Stretchweb outsole Flexible Bounce midsole cushioning Springy feel Weight: 10 ounces (size 7) Midsole drop: 10 mm (heel: 30 mm / forefoot: 20 mm) Fitcounter heel for unrestricted fit Imported
EE7399,https://www.adidas.com/us/superstar-shoes/EE7399.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/32cf1d285fab46798204aa5c00cd9cce_9366/Superstar_Shoes_White_EE7399_01_standard.jpg",adidas Superstar Shoes - White | adidas US,adidas,['Lifestyle'],W,100,"Supple leather upper Iconic adidas Superstar sneaker details An all-leather upper offers luxe comfort Rubber shell toe, serrated 3-Stripes and rubber cupsole The adidas Superstar sneaker hit the hardwood in the '70s as basketball's first all-leather low top. Today, the iconic shell-toe style wins fans as a cultural icon and streetwear star. These supple leather shoes highlight the classic lines with metallic details.egular fit Lace closure Leather upper with classic rubber shell toe Textile lining; Rubber outsole Soft feel Imported"
G54013,https://www.adidas.com/us/ultraboost-19-shoes/G54013.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/6cd4f2457737447890e4aa33011cd777_9366/Ultraboost_19_Shoes_Pink_G54013_01_standard.jpg",adidas Ultraboost 19 Shoes - Pink | adidas US,adidas,['Running'],W,180,"Engineered fit Endless energy Support through your stride  adidas Primeknit 360 upper offers an engineered fit that expands and supports as you move through each stride Dual-density Boost cushioning on the medial side provides energized stability for a smooth, responsive ride Torsion Spring is embedded in the midsole to provide support during landing and propulsion at toe-off Ultraboost reinvented. These running shoes reboot key performance technologies to give you a confident and energy-filled run. The knit upper has a second-skin fit and is built with motion-weave technology for adaptive stretch and support. Dual-density cushioning delivers medial support and an energized ride.egular fit Lace closure adidas Primeknit 360 upper Synthetic lining; Stretchweb outsole flexes naturally for an energized ride, and Continental™ Rubber gives you superior traction Dual-density Boost cushioning under arch Natural feel like a second skin Weight: 9 ounces (size 7) Midsole drop: 10 mm (heel: 29 mm / forefoot: 19 mm) Arch type: Normal; Lightweight 3D heel frame for personalized fit; Stabilizing Torsion Spring Imported"
B28128,https://www.adidas.com/us/falcon-shoes/B28128.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/49e9743bc8574c79b765a913009cdbc2_9366/Falcon_Shoes_White_B28128_01_standard.jpg",adidas Falcon Shoes - White | adidas US,adidas,['Lifestyle'],W,100,"Cued by playful '90s fashion Built for all-day comfort Authentic Torsion System bar Color-pop TPU details and metallic finishes recall '90s style trends Cushioned with a lightweight EVA midsole and lined with breathable mesh Torsion System for midfoot stability The Falcon takes inspiration from '90s running designs and the carefree, rebellious spirit of that decade's art, music and fashion. These shoes offer a distinctly '90s look with vibrant colors and a wide, chunky silhouette. They feature a mesh upper and show off a big midsole that's built for comfortable all-day wear.oomy toe box area; Wide fit Lace closure Mesh and suede upper Stabilizing Torsion System; Breathable mesh lining; Rubber outsole Lightweight EVA midsole Stable feel Imported"
EE4760,https://www.adidas.com/us/stan-smith-shoes/EE4760.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/994be9e664b54676a640aa78010429c4_9366/Stan_Smith_Shoes_White_EE4760_01_standard.jpg",adidas Stan Smith Shoes - White | adidas US,adidas,['Lifestyle'],W,110,The beloved Stan Smith trainer has been a wardrobe essential since the early '70s. This version stays true to its heritage with a classic rubber cupsole. A premium patent leather upper adds a tailored look.egular fit Lace closure Patent leather upper Synthetic lining; Rubber cupsole Enjoy the comfort and performance of OrthoLite® sockliner Soft feel Imported
B37681,https://www.adidas.com/us/swift-run-shoes/B37681.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/c0e518e72d6444c0b6b2a8c40109f360_9366/Swift_Run_Shoes_Pink_B37681_01_standard.jpg",adidas Swift Run Shoes - Pink | adidas US,adidas,['Lifestyle'],W,85,"Beyond-basic style Built for all-day comfort Embroidered accents and welded details elevate the simple design A stretchy knit lining and lightweight midsole keep you comfortable The Swift is a casual running style that's designed for everyday wear. These stretchy knit shoes have a streamlined shape and a supportive, sock-like feel.nug fit Lace closure Stretch knit upper with embroidery and TPU details Stretch mesh lining; Rubber outsole Lightweight EVA midsole; Enjoy the comfort and performance of OrthoLite® sockliner Sock-like construction hugs the foot Imported"
AQ0866,https://www.adidas.com/us/swift-run-shoes/AQ0866.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/0083153c0320452d9c68a8bf0116413b_9366/Swift_Run_Shoes_Green_AQ0866_01_standard.jpg",adidas Swift Run Shoes - Green | adidas US,adidas,['Lifestyle'],W,85,"Beyond-basic style Built for all-day comfort Embroidered accents and welded details elevate the simple design A stretchy knit lining and lightweight midsole keep you comfortable The Swift is a casual running style that's designed for everyday wear. These stretchy knit shoes have a streamlined shape and a supportive, sock-like feel.nug fit Lace closure Stretch knit upper with embroidery and TPU details Stretch mesh lining; Rubber outsole Lightweight EVA midsole; Enjoy the comfort and performance of OrthoLite® sockliner Sock-like construction hugs the foot Imported"
EE5178,https://www.adidas.com/us/nmd_r1-shoes/EE5178.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/6dd15b0bd7e741178483aa7000f22006_9366/NMD_R1_Shoes_Black_EE5178_01_standard.jpg",adidas NMD_R1 Shoes - Black | adidas US,adidas,['Lifestyle'],W,130,The NMD_R1 rewrites the rules with a forward-thinking design that's rooted in iconic running style. These shoes have a knit upper to give them a sock-like fit. Molded EVA midsole inserts add cushioning and a distinctive look. The shoes are finished with a seasonal pop of color on the heel.egular fit Lace closure Textured knit upper Textile lining; Rubber outsole Responsive Boost midsole with EVA midsole plugs Sock-like construction hugs the foot Imported
G27481,https://www.adidas.com/us/ultraboost-19-shoes/G27481.html,"https://assets.adidas.com/images/w_600,f_auto,q_auto/828180936b504cdeba6daa78011d4c30_9366/Ultraboost_19_Shoes_White_G27481_01_standard.jpg",adidas Ultraboost 19 Shoes - White | adidas US,adidas,['Running'],W,180,"Engineered fit Endless energy Support through your stride  adidas Primeknit 360 upper offers an engineered fit that expands and supports as you move through each stride Dual-density Boost cushioning on the medial side provides energized stability for a smooth, responsive ride Torsion Spring is embedded in the midsole to provide support during landing and propulsion at toe-off Ultraboost reinvented. These running shoes reboot key performance technologies to give you a confident and energy-filled run. The knit upper has a second-skin fit and is built with motion-weave technology for adaptive stretch and support. Dual-density cushioning delivers medial support and an energized ride.egular fit Lace closure adidas Primeknit 360 upper Synthetic lining; Stretchweb outsole flexes naturally for an energized ride, and Continental™ Rubber gives you superior traction Dual-density Boost cushioning under arch Natural feel like a second skin Weight: 9 ounces (size 7) Midsole drop: 10 mm (heel: 29 mm / forefoot: 19 mm) Arch type: Normal; Lightweight 3D heel frame for personalized fit; Stabilizing Torsion Spring Imported"
