shoesIDX,shoesID,pro_name
1,11040,adidas World Cup Cleats - Black | adidas US
2,15110,adidas Copa Mundial Cleats - Black | adidas US
3,19228,adidas Mundial Team Shoes - Black | adidas US
4,19310,adidas Mundial Goal Shoes - Black | adidas US
5,34563,adidas Samba Classic - Black | adidas US
6,100007_BKW,Women's Sepulveda Blvd - Still Love
7,100013_BKLD,Women's Relaxed Fit: Breathe-Easy - Missing Lynx
8,100026_BBK,Women's Be-Lux - Daylights
9,100026_NAT,Women's Be-Lux - Daylights
10,100084_GUN,Women's Sepulveda Blvd - Kind Walk
11,1011A002-001,DynaFlyte 3
12,1011A002-002,DynaFlyte 3
13,1011A002-020,DynaFlyte 3
14,1011A002-021,DynaFlyte 3
15,1011A002-400,DynaFlyte 3
16,1011A002-401,DynaFlyte 3
17,1011A008-001,GEL-Cumulus 20
18,1011A008-002,GEL-Cumulus 20
19,1011A008-003,GEL-Cumulus 20
20,1011A008-020,GEL-Cumulus 20
21,1011A008-021,GEL-Cumulus 20
22,1011A008-400,GEL-Cumulus 20
23,1011A008-600,GEL-Cumulus 20
24,1011A014-020,GEL-CUMULUS 20 WIDE
25,1011A019-001,GEL-Kayano 25
26,1011A019-002,GEL-Kayano 25
27,1011A019-004,GEL-Kayano 25
28,1011A019-020,GEL-Kayano 25
29,1011A019-021,GEL-Kayano 25
30,1011A019-022,GEL-Kayano 25
31,1011A019-300,GEL-Kayano 25
32,1011A019-400,GEL-Kayano 25
33,1011A021-001,GEL-Kayano 25 NYC
34,1011A022-001,GEL-Kayano 25 Lite-Show
35,1011A023-021,GEL-KAYANO 25 EXTRA WIDE
36,1011A029-021,GEL-KAYANO 25 WIDE
37,1011A030-001,GEL-Kayano 25 SP
38,1011A038-021,GT-1000 7 WIDE
39,1011A041-001,GT-1000 7 EXTRA WIDE
40,1011A041-021,GT-1000 7 EXTRA WIDE
41,1011A042-001,GT-1000 7
42,1011A042-003,GT-1000 7
43,1011A042-004,GT-1000 7
44,1011A042-020,GT-1000 7
45,1011A042-021,GT-1000 7
46,1011A042-400,GT-1000 7
47,1011A042-403,GT-1000 7
48,1011A045-002,GEL-Scram 4
